arrival_mode,ci95_high,ci95_low,concurrency,cost_id,experiment_id,group_id,mean,median,metric,n,offered_load_rps,policy_id,regime,resamples,resampling_unit,std
poisson,1911.798915890267,783.907852848133,,a_p0.5_d0.5,E8,E8-9d2be512b798,1342.9380846103215,852.37663989207,e2e_p95_ms,5,32,chunk_512,mixed,2000,workload_seed,751.923997049108
poisson,8.50590000000011,5.79600000000014,,a_p0.5_d0.5,E8,E8-9d2be512b798,7.148300000000063,6.2439999999999145,itl_p95_ms,5,32,chunk_512,mixed,2000,workload_seed,1.7764895017983664
poisson,8.946399999999949,6.636454999999935,,a_p0.5_d0.5,E8,E8-9d2be512b798,7.7712999999999735,6.851999999999862,itl_p99_ms,5,32,chunk_512,mixed,2000,workload_seed,1.5509337751819308
poisson,31.578582264718534,29.113171377153456,,a_p0.5_d0.5,E8,E8-9d2be512b798,30.503491293455305,30.879580497257624,request_throughput_rps,5,32,chunk_512,mixed,2000,workload_seed,1.6124092947685074
poisson,4134.954422549428,3628.703199899877,,a_p0.5_d0.5,E8,E8-9d2be512b798,3877.9212736035306,3861.069702595814,output_token_throughput_tps,5,32,chunk_512,mixed,2000,workload_seed,335.12505057255066
poisson,30.039891866297506,25.245847888352944,,a_p0.5_d0.5,E8,E8-9d2be512b798,27.935881718860543,28.21004068820701,observed_request_throughput_rps,5,32,chunk_512,mixed,2000,workload_seed,3.176916841241079
poisson,1.4578216705783316,1.064286601069439,,a_p0.5_d0.5,E8,E8-9d2be512b798,1.2496105187430335,1.243085138354117,iteration_cv,5,32,chunk_512,mixed,2000,workload_seed,0.2640349947763526
poisson,753.7552739756277,176.83476627180963,,a_p0.5_d0.5,E8,E8-9d2be512b798,394.57598645350254,246.4066466985878,max_wait_ms,5,32,chunk_512,mixed,2000,workload_seed,398.68160917246803
poisson,4.2,0.0,,a_p0.5_d0.5,E8,E8-9d2be512b798,1.4,0.0,starvation_proxy_count,5,32,chunk_512,mixed,2000,workload_seed,3.1304951684997055
poisson,0.9982130681754434,0.9648359255488199,,a_p0.5_d0.5,E8,E8-9d2be512b798,0.9867629830059211,0.9972658008481998,waiting_satisfaction_jain,5,32,chunk_512,mixed,2000,workload_seed,0.024356444476164113
poisson,641.1716736083497,120.18401544308385,,a_p0.5_d0.5,E8,E8-9d2be512b798,312.78433057549097,180.86606620802183,short_prompt_ttft_p95_ms,5,32,chunk_512,mixed,2000,workload_seed,358.74804409835144
poisson,748.2936551966817,179.27613742054785,,a_p0.5_d0.5,E8,E8-9d2be512b798,381.89205815537645,204.03827257285226,long_prompt_ttft_p95_ms,5,32,chunk_512,mixed,2000,workload_seed,410.2660080292486
poisson,5.007900000000012,0.6921000000000008,,a_p0.5_d0.5,E8,E8-9d2be512b798,2.8302000000000063,2.0205,primer_max_itl_ms,5,32,chunk_512,mixed,2000,workload_seed,2.7641272944638504
poisson,41.4,16.0,,a_p0.5_d0.5,E8,E8-9d2be512b798,27.6,22.0,backlog_at_arrival_end,5,32,chunk_512,mixed,2000,workload_seed,17.03819239238717
poisson,0.9914757204872993,0.9357997932601496,,a_p0.5_d0.5,E8,E8-9d2be512b798,0.9685328369878219,0.9845900795534107,server_busy_fraction,5,32,chunk_512,mixed,2000,workload_seed,0.0379995147878539
poisson,0.5066197291909141,0.22723110745261765,,a_p0.5_d0.5,E8,E8-9d2be512b798,0.3659751966288057,0.26367393280583035,batch_slot_occupancy,5,32,chunk_512,mixed,2000,workload_seed,0.18655120072052145
