arrival_mode,baseline_mean,baseline_policy,candidate_mean,ci95_high,ci95_low,concurrency,cost_id,experiment_id,group_id,mean,mean_delta,median,metric,n,offered_load_rps,paired_dz,policy_id,regime,relative_change_pct,relative_ci95_high,relative_ci95_low,resamples,resampling_unit,std
poisson,2.9095847000001185,mono,0.7929928400004209,-2.0052546699997267,-2.2969343799990383,,piecewise,E4,E4-68a8cf9325fb,-2.116591859999698,-2.116591859999698,-2.054458600000653,itl_p99_ms,5,16,-10.545900032279341,fcfs,short_long,-72.74549732130538,-71.6597287595865,-74.33766051718378,2000,workload_seed,0.20070281849070662
poisson,17.216364463197593,mono,4.60915632258576,-11.768693893086565,-13.469095389626208,,piecewise,E4,E4-68a8cf9325fb,-12.607208140611833,-12.607208140611833,-12.641351916681852,request_throughput_rps,5,16,-11.476139081245753,fcfs,short_long,-73.22805094862808,-71.80106919838052,-74.64025907906444,2000,workload_seed,1.0985583262244065
poisson,4677.058819193906,mono,1251.5685668714293,-3186.2165821117037,-3685.8124672153667,,piecewise,E4,E4-68a8cf9325fb,-3425.4902523224764,-3425.4902523224764,-3316.3796668920054,output_token_throughput_tps,5,16,-10.594740499383635,fcfs,short_long,-73.2402645496954,-71.79430478022574,-74.64939365518697,2000,workload_seed,323.319882400306
poisson,17.578045831170254,mono,4.594538658094233,-12.151005109549066,-13.865291874851318,,piecewise,E4,E4-68a8cf9325fb,-12.983507173076024,-12.983507173076024,-12.999051493675227,observed_request_throughput_rps,5,16,-11.445709264094594,fcfs,short_long,-73.86206235765427,-72.66089947512624,-74.82197291593617,2000,workload_seed,1.1343558423072593
poisson,0.34198814064266214,mono,0.17667436591499608,-0.1564145672925525,-0.17767466012035732,,piecewise,E4,E4-68a8cf9325fb,-0.16531377472766604,-0.16531377472766604,-0.16361651074675976,iteration_cv,5,16,-11.498933446491199,fcfs,short_long,-48.33903725930653,-47.09532860101416,-49.872442781801865,2000,workload_seed,0.014376444171707952
poisson,4.373179909471219,mono,20341.918883178078,21003.01402517222,19800.233625654764,,piecewise,E4,E4-68a8cf9325fb,20337.545703268606,20337.545703268606,20022.81146504321,max_wait_ms,5,16,27.00169384898157,fcfs,short_long,465051.6586162519,532709.3329014891,416249.9323616792,2000,workload_seed,753.195181643602
poisson,0.0,mono,120.2,121.2,119.2,,piecewise,E4,E4-68a8cf9325fb,120.2,120.2,120.0,starvation_proxy_count,5,16,92.18919165945393,fcfs,short_long,,,,2000,workload_seed,1.3038404810405297
poisson,0.9999996104472988,mono,0.4511374866228614,-0.5353884478833931,-0.5578044370492694,,piecewise,E4,E4-68a8cf9325fb,-0.5488621238244374,-0.5488621238244374,-0.5536806527364015,waiting_satisfaction_jain,5,16,-36.024090483937506,fcfs,short_long,-54.88623376352436,-53.538870053841,-55.780466532113415,2000,workload_seed,0.015235974495155267
poisson,5.945483901281781,mono,19687.1846188015,20392.74721513585,19003.59347374118,,piecewise,E4,E4-68a8cf9325fb,19681.23913490022,19681.23913490022,19532.059593525042,short_prompt_ttft_p95_ms,5,16,22.19528906805503,fcfs,short_long,331028.3815697013,349089.65994553175,309134.95608222677,2000,workload_seed,886.7304712524245
poisson,4.198770930000007,mono,0.7915390000000002,-2.4395350999999987,-4.544024380000025,,piecewise,E4,E4-68a8cf9325fb,-3.4072319300000076,-3.4072319300000076,-3.2752583500000014,primer_max_itl_ms,5,16,-2.460933935785917,fcfs,short_long,-81.14831665751294,-75.50757647813892,-85.1588615983982,2000,workload_seed,1.3845279958366228
poisson,2.8,mono,95.2,93.8,91.0,,piecewise,E4,E4-68a8cf9325fb,92.4,92.4,93.0,backlog_at_arrival_end,5,16,50.864525948837866,fcfs,short_long,3300.0,4640.0,2304.875,2000,workload_seed,1.816590212458495
poisson,0.9856970341768276,mono,0.9999999999999956,0.022283161517783933,0.0057474350082847405,,piecewise,E4,E4-68a8cf9325fb,0.014302965823167924,0.014302965823167924,0.013968750051694179,server_busy_fraction,5,16,1.2935752172797,fcfs,short_long,1.451050913946661,2.2791017440566774,0.5780658970020003,2000,workload_seed,0.011056926286239529
poisson,0.15489281336576716,mono,0.03125,-0.11249466040419061,-0.1378506309372253,,piecewise,E4,E4-68a8cf9325fb,-0.12364281336576717,-0.12364281336576717,-0.1167511307918632,batch_slot_occupancy,5,16,-7.402564145981197,fcfs,short_long,-79.82475795942476,-78.26006203491022,-81.51987971493682,2000,workload_seed,0.01670270070309246
poisson,108.55308256566097,mono,108.55308256566097,0.0,0.0,,analytical,E4,E4-7348934f06c5,0.0,0.0,0.0,ttft_p50_ms,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,2076.844116430374,mono,2076.844116430374,0.0,0.0,,analytical,E4,E4-7348934f06c5,0.0,0.0,0.0,ttft_p95_ms,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,2212.995221640064,mono,2212.995221640064,0.0,0.0,,analytical,E4,E4-7348934f06c5,0.0,0.0,0.0,ttft_p99_ms,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,10.384750959869638,mono,10.384750959869638,0.0,0.0,,analytical,E4,E4-7348934f06c5,0.0,0.0,0.0,tpot_p95_ms,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,10.411883192702872,mono,10.411883192702872,0.0,0.0,,analytical,E4,E4-7348934f06c5,0.0,0.0,0.0,tpot_p99_ms,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
